FULL_NAME,AST,BLK,DREB,FG3A,FG3M,FG3_PCT,FGA,FGM,FG_PCT,FTA,FTM,FT_PCT,GP,GS,MIN,OREB,PF,PTS,REB,STL,TOV,FIRST_NAME,LAST_NAME,FULL_NAME_LOWER,FIRST_NAME_LOWER,LAST_NAME_LOWER,IS_ACTIVE
Nick Anderson,161,28,235,228,81,0.32,761,340,0.42,189,126,0.58,62,49,1917,78,116,887,313,86,104,Nick,Anderson,nick anderson,nick,anderson,FALSE
Richard Anderson,90,14,147,74,24,0.32,331,135,0.41,58,44,0.77,60,4,919,68,104,338,215,34,53,Richard,Anderson,richard anderson,richard,anderson,FALSE
Ron Anderson,80,7,117,29,8,0.21,497,234,0.46,105,84,0.8,54,8,1225,72,83,561,188,38,59,Ron,Anderson,ron anderson,ron,anderson,FALSE
Ryan Anderson,43,16,157,252,95,0.34,472,198,0.38,99,84,0.76,48,21,1221,90,92,576,248,24,44,Ryan,Anderson,ryan anderson,ryan,anderson,FALSE
Shandon Anderson,90,16,152,83,26,0.27,382,174,0.42,122,90,0.68,65,19,1426,52,131,465,204,50,84,Shandon,Anderson,shandon anderson,shandon,anderson,FALSE
Willie Anderson,209,36,157,45,12,0.25,601,281,0.46,138,109,0.78,57,43,1639,54,157,683,212,61,119,Willie,Anderson,willie anderson,willie,anderson,FALSE
Martynas Andriuskevicius,0,0,3,0,0,0,0,0,0,0,0,0,6,0,9,0,0,0,4,2,0,Martynas,Andriuskevicius,martynas andriuskevicius,martynas,andriuskevicius,FALSE
Ike Anigbogu,1,2,3,0,0,0,6,2,0.22,3,2,0.42,7,0,18,3,1,6,6,1,2,Ike,Anigbogu,ike anigbogu,ike,anigbogu,FALSE
Michael Ansley,14,5,63,0,0,0,153,78,0.47,73,53,0.62,32,1,438,63,58,209,125,10,18,Michael,Ansley,michael ansley,michael,ansley,FALSE
Chris Anstey,42,22,119,10,1,0.12,245,101,0.4,90,68,0.74,52,8,719,59,124,271,178,26,49,Chris,Anstey,chris anstey,chris,anstey,FALSE
Giannis Antetokounmpo,303,86,505,156,45,0.3,974,521,0.54,489,351,0.7,66,59,2142,112,198,1439,617,76,189,Giannis,Antetokounmpo,giannis antetokounmpo,giannis,antetokounmpo,TRUE
Kostas Antetokounmpo,0,1,6,0,0,0,5,2,0.43,6,3,0.49,7,0,29,2,3,7,8,1,4,Kostas,Antetokounmpo,kostas antetokounmpo,kostas,antetokounmpo,TRUE
Thanasis Antetokounmpo,17,5,29,11,2,0.08,63,33,0.46,22,12,0.31,26,2,232,21,32,80,50,9,16,Thanasis,Antetokounmpo,thanasis antetokounmpo,thanasis,antetokounmpo,TRUE
Carmelo Anthony,173,33,299,244,87,0.35,1150,514,0.44,399,325,0.81,64,57,2203,100,179,1441,399,61,155,Carmelo,Anthony,carmelo anthony,carmelo,anthony,FALSE
Cole Anthony,191,12,170,193,65,0.36,502,199,0.42,132,111,0.77,38,34,1141,24,93,573,194,26,94,Cole,Anthony,cole anthony,cole,anthony,TRUE
Greg Anthony,252,6,97,147,51,0.32,402,161,0.4,118,86,0.71,63,20,1336,23,111,459,119,74,87,Greg,Anthony,greg anthony,greg,anthony,FALSE
Joel Anthony,8,45,68,0,0,0,67,34,0.49,34,23,0.65,44,9,604,48,70,91,116,11,19,Joel,Anthony,joel anthony,joel,anthony,FALSE
Pero Antic,54,13,142,172,54,0.31,295,116,0.39,94,69,0.74,56,14,981,58,129,354,199,18,52,Pero,Antic,pero antic,pero,antic,FALSE
O.G. Anunoby,72,24,160,204,76,0.38,428,201,0.46,76,54,0.71,51,38,1368,52,116,532,212,56,57,O.G.,Anunoby,o.g. anunoby,o.g.,anunoby,TRUE
Keith Appling,0,0,0,3,0,0,8,2,0.25,2,2,0,5,0,27,0,5,6,0,0,3,Keith,Appling,keith appling,keith,appling,FALSE
Rafael Araujo,14,5,90,1,0,0.11,128,52,0.41,37,25,0.65,46,25,529,41,100,130,132,17,37,Rafael,Araujo,rafael araujo,rafael,araujo,FALSE
Robert Archibald,6,2,15,0,0,0,17,5,0.27,16,7,0.36,15,1,117,10,22,17,24,6,5,Robert,Archibald,robert archibald,robert,archibald,FALSE
Ryan Arcidiacono,77,1,63,77,29,0.31,135,58,0.36,28,22,0.51,36,6,620,9,56,168,72,19,21,Ryan,Arcidiacono,ryan arcidiacono,ryan,arcidiacono,TRUE
Gilbert Arenas,245,12,145,262,90,0.33,737,307,0.4,287,231,0.78,48,36,1627,36,144,935,181,74,148,Gilbert,Arenas,gilbert arenas,gilbert,arenas,FALSE
Trevor Ariza,109,16,193,202,70,0.29,432,182,0.43,107,78,0.73,51,34,1475,49,100,513,242,72,66,Trevor,Ariza,trevor ariza,trevor,ariza,FALSE
Joe Arlauckas,8,4,7,0,0,0,43,14,0.33,8,6,0.75,9,0,85,6,16,34,13,3,4,Joe,Arlauckas,joe arlauckas,joe,arlauckas,FALSE
B.J. Armstrong,179,3,82,72,30,0.39,419,200,0.46,97,83,0.85,56,23,1265,14,82,512,96,38,64,B.J.,Armstrong,b.j. armstrong,b.j.,armstrong,FALSE
Brandon Armstrong,8,1,14,25,8,0.28,96,34,0.34,7,4,0.61,36,0,232,7,28,80,21,7,12,Brandon,Armstrong,brandon armstrong,brandon,armstrong,FALSE
Darrell Armstrong,223,7,106,180,59,0.33,424,172,0.39,109,95,0.87,57,22,1307,43,93,498,149,74,101,Darrell,Armstrong,darrell armstrong,darrell,armstrong,FALSE
Hilton Armstrong,12,16,56,1,0,0.17,77,37,0.44,35,20,0.5,34,4,382,33,62,95,89,11,25,Hilton,Armstrong,hilton armstrong,hilton,armstrong,FALSE
Carlos Arroyo,145,2,61,31,11,0.29,262,114,0.43,77,62,0.8,48,15,830,18,73,300,79,24,56,Carlos,Arroyo,carlos arroyo,carlos,arroyo,FALSE
Darrell Arthur,45,34,136,51,18,0.23,346,153,0.44,52,40,0.74,56,12,994,61,137,365,196,34,47,Darrell,Arthur,darrell arthur,darrell,arthur,FALSE
Jamel Artis,18,3,34,29,8,0.28,79,31,0.39,12,7,0.58,15,0,279,4,11,77,38,2,8,Jamel,Artis,jamel artis,jamel,artis,FALSE
Omer Asik,28,34,236,0,0,0,182,96,0.48,108,59,0.45,49,26,940,104,95,250,341,17,55,Omer,Asik,omer asik,omer,asik,FALSE
Vincent Askew,88,9,68,20,6,0.16,216,103,0.44,93,70,0.72,42,2,810,35,88,283,102,26,44,Vincent,Askew,vincent askew,vincent,askew,FALSE
Keith Askins,42,19,100,86,31,0.31,188,75,0.39,35,25,0.7,54,9,887,58,122,206,159,31,36,Keith,Askins,keith askins,keith,askins,FALSE
Chucky Atkins,169,2,70,185,66,0.34,423,172,0.38,90,70,0.78,51,23,1234,14,92,481,84,33,72,Chucky,Atkins,chucky atkins,chucky,atkins,FALSE
Stacey Augmon,95,20,118,5,1,0.07,394,185,0.45,160,116,0.72,62,28,1330,79,108,486,197,60,77,Stacey,Augmon,stacey augmon,stacey,augmon,FALSE
D.J. Augustin,205,2,83,185,71,0.37,398,164,0.4,126,109,0.87,54,15,1248,15,74,507,98,31,79,D.J.,Augustin,d.j. augustin,d.j.,augustin,FALSE
James Augustine,2,0,8,0,0,0,18,10,0.43,4,2,0.25,14,0,78,8,10,21,16,2,3,James,Augustine,james augustine,james,augustine,FALSE
Ike Austin,65,26,161,5,1,0.07,343,155,0.44,126,84,0.69,46,20,965,74,109,395,235,25,82,Ike,Austin,ike austin,ike,austin,FALSE
Ken Austin,0,0,0,0,0,0,13,6,0.46,0,0,0,7,0,28,2,7,12,3,0,3,Ken,Austin,ken austin,ken,austin,FALSE
